,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
20.1,DisTest_Seed61442_Strain0p6_NumberOfCells688,ALL,6433.199917740017,Martensite,0.0,0.006,0.0,815.027,-0.31399999999996453,0.01156047157322367,0.03808004409074783,1.8700931486857668,1.72413793,0
20.2,DisTest_Seed61442_Strain0p6_NumberOfCells688,ALL,17318.049272930373,Ferrite,0.0,0.006,0.0,815.027,-0.31399999999996453,0.008775760230885164,0.038571760058403015,2.5212397882003104,1.7241379310344,0
21,DisTest_Seed256091_Strain0p9_NumberOfCells214,ALL,1533.2392089127611,wholeMod,0.0,0.009,0.0,988.2445,-1.2384999999999309,0.0307682438287884,0.138961061835289,1.8700931486857668,1.72413793,0
21.1,DisTest_Seed256091_Strain0p9_NumberOfCells214,ALL,1533.2392089127611,Martensite,0.0,0.009,0.0,988.2445,-1.2384999999999309,0.0265588634647429,0.1167919933795929,1.8700931486857668,1.72413793,0
21.2,DisTest_Seed256091_Strain0p9_NumberOfCells214,ALL,1991.396142135487,Ferrite,0.0,0.009,0.0,988.2445,-1.2384999999999309,0.0307682438287884,0.138961061835289,2.5212397882003104,1.7241379310344,0
22,DisTest_Seed36003_Strain0p9_NumberOfCells46,ALL,888.4863772207171,wholeMod,0.0,0.009,0.0,955.0155,-1.1585000000000036,0.049135649783743754,0.23222260177135468,2.5212397882003104,1.7241379310344,0
22.1,DisTest_Seed36003_Strain0p9_NumberOfCells46,ALL,1664.498237364057,Martensite,0.0,0.009,0.0,955.0155,-1.1585000000000036,0.02532321842741375,0.1902996152639389,1.8700931486857668,1.72413793,0
22.2,DisTest_Seed36003_Strain0p9_NumberOfCells46,ALL,888.4863772207171,Ferrite,0.0,0.009,0.0,955.0155,-1.1585000000000036,0.049135649783743754,0.23222260177135468,2.5212397882003104,1.7241379310344,0
23,DisTest_Seed256091_Strain0p3_NumberOfCells6,ALL,22633.012523836504,wholeMod,0.0,0.003,0.0,518.435,-0.11100000000010368,0.007513868344475084,0.024109816178679466,2.5212397882003104,1.7241379310344,0
23.1,DisTest_Seed256091_Strain0p3_NumberOfCells6,ALL,53832.18485337965,Martensite,0.0,0.003,0.0,518.435,-0.11100000000010368,0.00337177723122295,0.011138372123241425,1.8700931486857668,1.72413793,0
23.2,DisTest_Seed256091_Strain0p3_NumberOfCells6,ALL,22633.012523836504,Ferrite,0.0,0.003,0.0,518.435,-0.11100000000010368,0.007513868344475084,0.024109816178679466,2.5212397882003104,1.7241379310344,0
24,DisTest_Seed256091_Strain0p3_NumberOfCells688,ALL,51652.44739543112,wholeMod,0.0,0.003,0.0,547.837,-0.04100000000005366,0.003453587892612344,0.011016812175512314,1.8700931486857668,1.72413793,0
24.1,DisTest_Seed256091_Strain0p3_NumberOfCells688,ALL,1462965.0849211237,Ferrite,0.0,0.003,0.0,547.837,-0.04100000000005366,0.0006695429702328207,0.004615305922925472,2.5212397882003104,1.7241379310344,0
24.2,DisTest_Seed256091_Strain0p3_NumberOfCells688,ALL,51652.44739543112,Martensite,0.0,0.003,0.0,547.837,-0.04100000000005366,0.003453587892612344,0.011016812175512314,1.8700931486857668,1.72413793,0
25,DisTest_Seed783331_Strain0p3_NumberOfCells46,ALL,40455.513315318334,wholeMod,0.0,0.003,0.0,533.3695,-0.0364999999999327,0.005364967270980816,0.015439197421073914,2.5212397882003104,1.7241379310344,0
25.1,DisTest_Seed783331_Strain0p3_NumberOfCells46,ALL,119805.99632370869,Martensite,0.0,0.003,0.0,533.3695,-0.0364999999999327,0.002120047909556888,0.009394925087690353,1.8700931486857668,1.72413793,0
25.2,DisTest_Seed783331_Strain0p3_NumberOfCells46,ALL,40455.513315318334,Ferrite,0.0,0.003,0.0,533.3695,-0.0364999999999327,0.005364967270980816,0.015439197421073914,2.5212397882003104,1.7241379310344,0
26,DisTest_Seed61442_Strain0p6_NumberOfCells214,ALL,7321.271017090317,wholeMod,0.0,0.006,0.0,801.3955000000001,-0.2804999999999609,0.010725142649159981,0.06597808748483658,1.8700931486857668,1.72413793,0
26.1,DisTest_Seed61442_Strain0p6_NumberOfCells214,ALL,19455.693450247032,Ferrite,0.0,0.006,0.0,801.3955000000001,-0.2804999999999609,0.00820289320883251,0.06597808748483658,2.5212397882003104,1.7241379310344,0
26.2,DisTest_Seed61442_Strain0p6_NumberOfCells214,ALL,7321.271017090317,Martensite,0.0,0.006,0.0,801.3955000000001,-0.2804999999999609,0.010725142649159981,0.04877205938100815,1.8700931486857668,1.72413793,0
27,DisTest_Seed61442_Strain0p9_NumberOfCells6,ALL,473.37459527681165,wholeMod,0.0,0.009,0.0,920.6614999999999,-1.06350000000009,0.07079380952886173,0.2665877640247345,2.5212397882003104,1.7241379310344,0
27.1,DisTest_Seed61442_Strain0p9_NumberOfCells6,ALL,1488.257693164345,Martensite,0.0,0.009,0.0,920.6614999999999,-1.06350000000009,0.027021528956921476,0.18448226153850555,1.8700931486857668,1.72413793,0
27.2,DisTest_Seed61442_Strain0p9_NumberOfCells6,ALL,473.37459527681165,Ferrite,0.0,0.009,0.0,920.6614999999999,-1.06350000000009,0.07079380952886173,0.2665877640247345,2.5212397882003104,1.7241379310344,0
28,DisTest_Seed256091_Strain0p6_NumberOfCells46,ALL,3729.374211713748,wholeMod,0.0,0.006,0.0,781.586,-0.25699999999994816,0.021382835427565233,0.10623115301132202,2.5212397882003104,1.7241379310344,0
28.1,DisTest_Seed256091_Strain0p6_NumberOfCells46,ALL,4158.719585179107,Martensite,0.0,0.006,0.0,781.586,-0.25699999999994816,0.01488903833224493,0.04171048477292061,1.8700931486857668,1.72413793,0
28.2,DisTest_Seed256091_Strain0p6_NumberOfCells46,ALL,3729.374211713748,Ferrite,0.0,0.006,0.0,781.586,-0.25699999999994816,0.021382835427565233,0.10623115301132202,2.5212397882003104,1.7241379310344,0
29,DisTest_Seed61442_Strain0p3_NumberOfCells46,ALL,75957.65339018636,wholeMod,0.0,0.003,0.0,533.6465000000001,-0.04149999999992815,0.003722911045431744,0.02117960713803768,2.5212397882003104,1.7241379310344,0
29.1,DisTest_Seed61442_Strain0p3_NumberOfCells46,ALL,164475.6580754923,Martensite,0.0,0.003,0.0,533.6465000000001,-0.04149999999992815,0.0017641044291172255,0.010271675884723663,1.8700931486857668,1.72413793,0
29.2,DisTest_Seed61442_Strain0p3_NumberOfCells46,ALL,75957.65339018636,Ferrite,0.0,0.003,0.0,533.6465000000001,-0.04149999999992815,0.003722911045431744,0.02117960713803768,2.5212397882003104,1.7241379310344,0
30,DisTest_Seed36003_Strain0p3_NumberOfCells85,ALL,33317.518140033186,wholeMod,0.0,0.003,0.0,536.6675,-0.027500000000031832,0.004453619447303936,0.012523269280791283,1.8700931486857668,1.72413793,0
30.1,DisTest_Seed36003_Strain0p3_NumberOfCells85,ALL,60148.536576070364,Ferrite,0.0,0.003,0.0,536.6675,-0.027500000000031832,0.004262492367017426,0.012523269280791283,2.5212397882003104,1.7241379310344,0
30.2,DisTest_Seed36003_Strain0p3_NumberOfCells85,ALL,33317.518140033186,Martensite,0.0,0.003,0.0,536.6675,-0.027500000000031832,0.004453619447303936,0.01057931687682867,1.8700931486857668,1.72413793,0
31,DisTest_Seed71034_Strain0p6_NumberOfCells214,ALL,4618.389803744769,wholeMod,0.0,0.006,0.0,799.9169999999999,-0.29500000000007276,0.01731301926422951,0.060379039496183395,1.8700931486857668,1.72413793,0
31.1,DisTest_Seed71034_Strain0p6_NumberOfCells214,ALL,4618.389803744769,Martensite,0.0,0.006,0.0,799.9169999999999,-0.29500000000007276,0.014010663358036612,0.03777128830552101,1.8700931486857668,1.72413793,0
31.2,DisTest_Seed71034_Strain0p6_NumberOfCells214,ALL,5366.9363922249895,Ferrite,0.0,0.006,0.0,799.9169999999999,-0.29500000000007276,0.01731301926422951,0.060379039496183395,2.5212397882003104,1.7241379310344,0
