,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
26,DisTest_Seed36003_Strain500_NumberOfCells6,ALL,12081.160597089112,wholeMod,0.0,0.0028412150000000002,1.655000000000146e-06,500.0,0.0,0.010814118664711714,0.02997872233390808,2.5212397882003104,1.7241379310344,0
26.1,DisTest_Seed36003_Strain500_NumberOfCells6,ALL,111653.99031364873,Martensite,0.0,0.0028412150000000002,1.655000000000146e-06,500.0,0.0,0.0022084937430918218,0.009947437793016434,1.8700931486857668,1.72413793,0
26.2,DisTest_Seed36003_Strain500_NumberOfCells6,ALL,12081.160597089112,Ferrite,0.0,0.0028412150000000002,1.655000000000146e-06,500.0,0.0,0.010814118664711714,0.02997872233390808,2.5212397882003104,1.7241379310344,0
27,DisTest_Seed36003_Strain700_NumberOfCells6,ALL,2072.985649838227,wholeMod,0.0,0.005269445,4.39499999999992e-06,700.0,0.0,0.03005995324000399,0.10746804624795914,2.5212397882003104,1.7241379310344,0
27.1,DisTest_Seed36003_Strain700_NumberOfCells6,ALL,11411.056131008438,Martensite,0.0,0.005269445,4.39499999999992e-06,700.0,0.0,0.008291140020369216,0.03342578187584877,1.8700931486857668,1.72413793,0
27.2,DisTest_Seed36003_Strain700_NumberOfCells6,ALL,2072.985649838227,Ferrite,0.0,0.005269445,4.39499999999992e-06,700.0,0.0,0.03005995324000399,0.10746804624795914,2.5212397882003104,1.7241379310344,0
28,DisTest_Seed71034_Strain500_NumberOfCells688,ALL,326214.47567149927,wholeMod,0.0,0.0025764250000000002,6.450000000000726e-07,500.0,0.0,0.001185854386792264,0.007649576291441917,1.8700931486857668,1.72413793,0
28.1,DisTest_Seed71034_Strain500_NumberOfCells688,ALL,323019428.054229,Ferrite,0.0,0.0025764250000000002,6.450000000000726e-07,500.0,0.0,2.9259138774678457e-05,0.0020379768684506416,2.5212397882003104,1.7241379310344,0
28.2,DisTest_Seed71034_Strain500_NumberOfCells688,ALL,326214.47567149927,Martensite,0.0,0.0025764250000000002,6.450000000000726e-07,500.0,0.0,0.001185854386792264,0.007649576291441917,1.8700931486857668,1.72413793,0
29,DisTest_Seed36003_Strain900_NumberOfCells85,ALL,1584.7114144652053,wholeMod,0.0,0.007666445,3.110500000000002e-05,899.9995,-0.0004999999999881766,0.03512716043467929,0.13227534294128418,2.5212397882003104,1.7241379310344,0
29.1,DisTest_Seed36003_Strain900_NumberOfCells85,ALL,1584.7114144652053,Ferrite,0.0,0.007666445,3.110500000000002e-05,899.9995,-0.0004999999999881766,0.03512716043467929,0.13227534294128418,2.5212397882003104,1.7241379310344,0
29.2,DisTest_Seed36003_Strain900_NumberOfCells85,ALL,1705.3787377398796,Martensite,0.0,0.007666445,3.110500000000002e-05,899.9995,-0.0004999999999881766,0.02496934491209686,0.06726277619600296,1.8700931486857668,1.72413793,0
30,DisTest_Seed256091_Strain900_NumberOfCells688,ALL,4125.607364430446,wholeMod,0.0,0.00706578,1.9540000000000182e-05,900.0,0.0,0.014958231820185717,0.05507859215140343,1.8700931486857668,1.72413793,0
30.1,DisTest_Seed256091_Strain900_NumberOfCells688,ALL,7705.704053272889,Ferrite,0.0,0.00706578,1.9540000000000182e-05,900.0,0.0,0.014036634887911771,0.05462047830224037,2.5212397882003104,1.7241379310344,0
30.2,DisTest_Seed256091_Strain900_NumberOfCells688,ALL,4125.607364430446,Martensite,0.0,0.00706578,1.9540000000000182e-05,900.0,0.0,0.014958231820185717,0.05507859215140343,1.8700931486857668,1.72413793,0
31,DisTest_Seed61442_Strain900_NumberOfCells85,ALL,1956.7833664610705,wholeMod,0.0,0.007627155,3.010499999999989e-05,899.9995,-0.0004999999999881766,0.031082744486629964,0.1052507683634758,2.5212397882003104,1.7241379310344,0
31.1,DisTest_Seed61442_Strain900_NumberOfCells85,ALL,4227.15008817881,Martensite,0.0,0.007627155,3.010499999999989e-05,899.9995,-0.0004999999999881766,0.014748762777828155,0.07271450012922287,1.8700931486857668,1.72413793,0
31.2,DisTest_Seed61442_Strain900_NumberOfCells85,ALL,1956.7833664610705,Ferrite,0.0,0.007627155,3.010499999999989e-05,899.9995,-0.0004999999999881766,0.031082744486629964,0.1052507683634758,2.5212397882003104,1.7241379310344,0
32,DisTest_Seed256091_Strain900_NumberOfCells85,ALL,2903.2797667833624,wholeMod,0.0,0.007634719999999999,3.2059999999999554e-05,899.999,0.0,0.02197874980894002,0.11946555972099304,1.8700931486857668,1.72413793,0
32.1,DisTest_Seed256091_Strain900_NumberOfCells85,ALL,2903.2797667833624,Martensite,0.0,0.007634719999999999,3.2059999999999554e-05,899.999,0.0,0.018339508112419297,0.1017858237028122,1.8700931486857668,1.72413793,0
32.2,DisTest_Seed256091_Strain900_NumberOfCells85,ALL,3556.7532414013767,Ferrite,0.0,0.007634719999999999,3.2059999999999554e-05,899.999,0.0,0.02197874980894002,0.11946555972099304,2.5212397882003104,1.7241379310344,0
33,DisTest_Seed256091_Strain500_NumberOfCells6,ALL,20981.308661352534,wholeMod,0.0,0.002806915,1.6849999999999678e-06,500.0,0.0,0.007851475140509698,0.021175159141421318,2.5212397882003104,1.7241379310344,0
33.1,DisTest_Seed256091_Strain500_NumberOfCells6,ALL,76950.86498199058,Martensite,0.0,0.002806915,1.6849999999999678e-06,500.0,0.0,0.0027406867739045992,0.009638008661568165,1.8700931486857668,1.72413793,0
33.2,DisTest_Seed256091_Strain500_NumberOfCells6,ALL,20981.308661352534,Ferrite,0.0,0.002806915,1.6849999999999678e-06,500.0,0.0,0.007851475140509698,0.021175159141421318,2.5212397882003104,1.7241379310344,0
34,DisTest_Seed71034_Strain900_NumberOfCells6,ALL,859.07037717508,wholeMod,0.0,0.008381775,4.688499999999998e-05,899.998,0.0,0.05010458632090757,0.2075394243001938,2.5212397882003104,1.7241379310344,0
34.1,DisTest_Seed71034_Strain900_NumberOfCells6,ALL,2027.707177024029,Martensite,0.0,0.008381775,4.688499999999998e-05,899.998,0.0,0.02258396539837122,0.1191847175359726,1.8700931486857668,1.72413793,0
34.2,DisTest_Seed71034_Strain900_NumberOfCells6,ALL,859.07037717508,Ferrite,0.0,0.008381775,4.688499999999998e-05,899.998,0.0,0.05010458632090757,0.2075394243001938,2.5212397882003104,1.7241379310344,0
35,DisTest_Seed256091_Strain700_NumberOfCells6,ALL,5906.010999727543,wholeMod,0.0,0.005210165,4.39499999999992e-06,700.0,0.0,0.016378098788360756,0.07848918437957764,2.5212397882003104,1.7241379310344,0
35.1,DisTest_Seed256091_Strain700_NumberOfCells6,ALL,7566.916262728418,Martensite,0.0,0.005210165,4.39499999999992e-06,700.0,0.0,0.010521805260841753,0.03530363366007805,1.8700931486857668,1.72413793,0
35.2,DisTest_Seed256091_Strain700_NumberOfCells6,ALL,5906.010999727543,Ferrite,0.0,0.005210165,4.39499999999992e-06,700.0,0.0,0.016378098788360756,0.07848918437957764,2.5212397882003104,1.7241379310344,0
36,DisTest_Seed256091_Strain500_NumberOfCells688,ALL,110806.96742697064,wholeMod,0.0,0.00257644,6.90000000000239e-07,500.0,0.0,0.0022182696495866893,0.008283288218080997,1.8700931486857668,1.72413793,0
36.1,DisTest_Seed256091_Strain500_NumberOfCells688,ALL,23134083.541816317,Ferrite,0.0,0.00257644,6.90000000000239e-07,500.0,0.0,0.00013500436748334764,0.0025284781586378813,2.5212397882003104,1.7241379310344,0
36.2,DisTest_Seed256091_Strain500_NumberOfCells688,ALL,110806.96742697064,Martensite,0.0,0.00257644,6.90000000000239e-07,500.0,0.0,0.0022182696495866893,0.008283288218080997,1.8700931486857668,1.72413793,0
37,DisTest_Seed36003_Strain500_NumberOfCells688,ALL,189684.07251322933,wholeMod,0.0,0.00258217,6.799999999998647e-07,500.0,0.0,0.0016240722111736734,0.008307605050504208,1.8700931486857668,1.72413793,0
37.1,DisTest_Seed36003_Strain500_NumberOfCells688,ALL,189684.07251322933,Martensite,0.0,0.00258217,6.799999999998647e-07,500.0,0.0,0.0016240722111736734,0.008307605050504208,1.8700931486857668,1.72413793,0
37.2,DisTest_Seed36003_Strain500_NumberOfCells688,ALL,2312571.449675691,Ferrite,0.0,0.00258217,6.799999999998647e-07,500.0,0.0,0.0005133800164912828,0.002537508960813284,2.5212397882003104,1.7241379310344,0
38,DisTest_Seed61442_Strain700_NumberOfCells85,ALL,14661.437539426963,wholeMod,0.0,0.00481989,3.560000000000542e-06,700.0,0.0,0.007169367388841954,0.040553707629442215,1.8700931486857668,1.72413793,0
38.1,DisTest_Seed61442_Strain700_NumberOfCells85,ALL,14661.437539426963,Martensite,0.0,0.00481989,3.560000000000542e-06,700.0,0.0,0.007169367388841954,0.024208467453718185,1.8700931486857668,1.72413793,0
38.2,DisTest_Seed61442_Strain700_NumberOfCells85,ALL,36402.1549351206,Ferrite,0.0,0.00481989,3.560000000000542e-06,700.0,0.0,0.005703749422459526,0.040553707629442215,2.5212397882003104,1.7241379310344,0
39,DisTest_Seed61442_Strain500_NumberOfCells85,ALL,70226.39156556538,wholeMod,0.0,0.0026400649999999996,1.2049999999997826e-06,500.0,0.0,0.0028899679891765118,0.008552213199436665,1.8700931486857668,1.72413793,0
39.1,DisTest_Seed61442_Strain500_NumberOfCells85,ALL,70226.39156556538,Martensite,0.0,0.0026400649999999996,1.2049999999997826e-06,500.0,0.0,0.0028899679891765118,0.007859090343117714,1.8700931486857668,1.72413793,0
39.2,DisTest_Seed61442_Strain500_NumberOfCells85,ALL,994328.1460656985,Ferrite,0.0,0.0026400649999999996,1.2049999999997826e-06,500.0,0.0,0.0008376197464531288,0.008552213199436665,2.5212397882003104,1.7241379310344,0
