,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
17,WCurve_Seed36003_Strain0p6_VolumeFraction0,ALL,5671.237173695877,wholeMod,0.0,0.006,0.0,725.453,-0.47699999999997544,0.01676799062018593,0.05594182014465332,2.5212397882003104,1.7241379310344,0
17.1,WCurve_Seed36003_Strain0p6_VolumeFraction0,ALL,5671.237173695877,Ferrite,0.0,0.006,0.0,725.453,-0.47699999999997544,0.01676799062018593,0.05594182014465332,2.5212397882003104,1.7241379310344,0
18,WCurve_Seed78333_Strain0p3_VolumeFraction0,ALL,39755.53513684661,wholeMod,0.0,0.003,0.0,522.1115,-0.16050000000007003,0.005419553926503155,0.008939249441027641,2.5212397882003104,1.7241379310344,0
18.1,WCurve_Seed78333_Strain0p3_VolumeFraction0,ALL,39755.53513684661,Ferrite,0.0,0.003,0.0,522.1115,-0.16050000000007003,0.005419553926503155,0.008939249441027641,2.5212397882003104,1.7241379310344,0
19,WCurve_Seed81296_Strain0p6_VolumeFraction0,ALL,3076.3997700303803,wholeMod,0.0,0.006,0.0,723.268,-0.47100000000000364,0.023908335715532303,0.0603736974298954,2.5212397882003104,1.7241379310344,0
19.1,WCurve_Seed81296_Strain0p6_VolumeFraction0,ALL,3076.3997700303803,Ferrite,0.0,0.006,0.0,723.268,-0.47100000000000364,0.023908335715532303,0.0603736974298954,2.5212397882003104,1.7241379310344,0
20,WCurve_Seed25609_Strain0p3_VolumeFraction0,ALL,90340.02009221546,wholeMod,0.0,0.003,0.0,522.644,-0.14999999999997726,0.0033666940089980405,0.008141961880028248,2.5212397882003104,1.7241379310344,0
20.1,WCurve_Seed25609_Strain0p3_VolumeFraction0,ALL,90340.02009221546,Ferrite,0.0,0.003,0.0,522.644,-0.14999999999997726,0.0033666940089980405,0.008141961880028248,2.5212397882003104,1.7241379310344,0
21,WCurve_Seed71034_Strain0p6_VolumeFraction0,ALL,4431.299359025338,wholeMod,0.0,0.006,0.0,725.1614999999999,-0.49250000000006366,0.01934755633895596,0.0991680696606636,2.5212397882003104,1.7241379310344,0
21.1,WCurve_Seed71034_Strain0p6_VolumeFraction0,ALL,4431.299359025338,Ferrite,0.0,0.006,0.0,725.1614999999999,-0.49250000000006366,0.01934755633895596,0.0991680696606636,2.5212397882003104,1.7241379310344,0
22,WCurve_Seed36003_Strain0p3_VolumeFraction0,ALL,68247.12615996522,wholeMod,0.0,0.003,0.0,522.413,-0.14699999999993452,0.003961368269907931,0.009857922792434692,2.5212397882003104,1.7241379310344,0
22.1,WCurve_Seed36003_Strain0p3_VolumeFraction0,ALL,68247.12615996522,Ferrite,0.0,0.003,0.0,522.413,-0.14699999999993452,0.003961368269907931,0.009857922792434692,2.5212397882003104,1.7241379310344,0
23,WCurve_Seed25609_Strain0p6_VolumeFraction0,ALL,4932.949998572052,wholeMod,0.0,0.006,0.0,727.9065,-0.5034999999999172,0.01818076940253377,0.05577513203024864,2.5212397882003104,1.7241379310344,0
23.1,WCurve_Seed25609_Strain0p6_VolumeFraction0,ALL,4932.949998572052,Ferrite,0.0,0.006,0.0,727.9065,-0.5034999999999172,0.01818076940253377,0.05577513203024864,2.5212397882003104,1.7241379310344,0
24,WCurve_Seed81296_Strain0p9_VolumeFraction0,ALL,767.2795140492773,wholeMod,0.0,0.009,0.0,766.4855,-0.23550000000000182,0.05349843312675754,0.12218833714723587,2.5212397882003104,1.7241379310344,0
24.1,WCurve_Seed81296_Strain0p9_VolumeFraction0,ALL,767.2795140492773,Ferrite,0.0,0.009,0.0,766.4855,-0.23550000000000182,0.05349843312675754,0.12218833714723587,2.5212397882003104,1.7241379310344,0
25,WCurve_Seed71034_Strain0p3_VolumeFraction0,ALL,59283.953479441734,wholeMod,0.0,0.003,0.0,521.2035,-0.14949999999998909,0.004298437344234275,0.01990647241473198,2.5212397882003104,1.7241379310344,0
25.1,WCurve_Seed71034_Strain0p3_VolumeFraction0,ALL,59283.953479441734,Ferrite,0.0,0.003,0.0,521.2035,-0.14949999999998909,0.004298437344234275,0.01990647241473198,2.5212397882003104,1.7241379310344,0
26,WCurve_Seed22187_Strain0p6_VolumeFraction0,ALL,6132.576741629541,wholeMod,0.0,0.006,0.0,723.106,-0.47100000000000364,0.016024379331308104,0.06484204530715942,2.5212397882003104,1.7241379310344,0
26.1,WCurve_Seed22187_Strain0p6_VolumeFraction0,ALL,6132.576741629541,Ferrite,0.0,0.006,0.0,723.106,-0.47100000000000364,0.016024379331308104,0.06484204530715942,2.5212397882003104,1.7241379310344,0
27,WCurve_Seed45213_Strain0p3_VolumeFraction0,ALL,53185.779991763164,wholeMod,0.0,0.003,0.0,521.3565,-0.14949999999998909,0.004577757082354855,0.009986063465476036,2.5212397882003104,1.7241379310344,0
27.1,WCurve_Seed45213_Strain0p3_VolumeFraction0,ALL,53185.779991763164,Ferrite,0.0,0.003,0.0,521.3565,-0.14949999999998909,0.004577757082354855,0.009986063465476036,2.5212397882003104,1.7241379310344,0
28,WCurve_Seed61442_Strain0p3_VolumeFraction0,ALL,81385.25672422357,wholeMod,0.0,0.003,0.0,522.27,-0.14600000000007185,0.003576824439491714,0.011372850276529789,2.5212397882003104,1.7241379310344,0
28.1,WCurve_Seed61442_Strain0p3_VolumeFraction0,ALL,81385.25672422357,Ferrite,0.0,0.003,0.0,522.27,-0.14600000000007185,0.003576824439491714,0.011372850276529789,2.5212397882003104,1.7241379310344,0
29,WCurve_Seed54667_Strain0p3_VolumeFraction0,ALL,78208.13885806581,wholeMod,0.0,0.003,0.0,523.4565,-0.14449999999999363,0.0036603955662634115,0.013766529969871044,2.5212397882003104,1.7241379310344,0
29.1,WCurve_Seed54667_Strain0p3_VolumeFraction0,ALL,78208.13885806581,Ferrite,0.0,0.003,0.0,523.4565,-0.14449999999999363,0.0036603955662634115,0.013766529969871044,2.5212397882003104,1.7241379310344,0
